Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CRM OF MUSHROOM ,COND",56.0,1.61,4.0,8.06,1.61,1.61,1
"CAMPBELL SOUP,HEALTHY REQUEST,HOMESTYL CHICK NOODLE,COND",48.0,1.19,8.0,7.94,0.79,2.38,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,MINESTRONE SOUP,COND",63.0,0.4,0.0,11.9,3.17,2.38,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,TOMATO SOUP,COND",73.0,1.21,0.0,13.71,8.06,1.61,1
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,VEG SOUP,COND",79.0,0.79,0.0,15.87,3.97,3.17,1
"CAMPBELL SOUP,PREGO PASTA,CHUNKY GARDEN COMB ITALIAN SAU,RTS",54.0,1.15,0.0,10.0,7.69,1.54,1
"CAMPBELL,PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS",72.0,2.4,0.0,10.4,8.0,1.6,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S AU JUS GRAVY",8.0,0.0,0.0,0.0,8.256540404040422,1.69,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S BF GRAVY",42.0,1.69,8.0,5.08,1.69,1.69,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S BROWN GRAVY W/ ONIONS",42.0,1.69,0.0,6.78,3.39,0.0,1
"CAMPBELL SOUP COMPANY,CAMPBELL'S CHICK GRAVY",68.0,5.08,8.0,5.08,1.69,0.0,1
"BARBECUE LOAF,PORK,BEEF",173.0,8.9,37.0,6.4,8.256540404040422,15.84,1
"BEERWURST,BEER SALAMI,PORK & BF",277.0,22.53,62.0,3.76,0.0,14.0,1
"BEERWURST,BEER SALAMI,PORK",238.0,18.8,59.0,2.06,8.256540404040422,14.24,1
SAUSAGE  BERLINER  PORK  BF,230.0,17.2,46.0,2.59,2.35,15.27,1
BLOOD SAUSAGE,379.0,34.5,120.0,1.29,1.29,14.6,1
BOCKWURST  PORK  VEAL  RAW,301.0,25.87,93.0,2.95,1.33,14.03,1
"BOLOGNA,BF",311.0,28.19,56.0,3.98,0.0,10.27,1
"BOLOGNA,BF & PORK",308.0,24.59,60.0,5.49,4.42,15.2,1
"BOLOGNA,PORK",247.0,19.87,59.0,0.73,0.0,15.3,1
BOLOGNA  TURKEY,209.0,16.05,75.0,4.68,2.9,11.42,1
"BRATWURST,PORK,CKD",333.0,29.18,74.0,2.85,0.0,13.72,1
"BRAUNSCHWEIGER (A LIVER SAUSAGE),PORK",327.0,28.5,180.0,3.1,0.0,14.5,1
"BROTWURST,PORK,BF,LINK",323.0,27.8,63.0,2.93,2.98,14.3,1
"CHEESEFURTER,CHS SMOKIE,PORK,BF",328.0,29.0,68.0,1.37,1.51,14.1,1
CHICKEN ROLL  LT MEAT,110.0,2.73,45.0,4.66,0.57,16.64,1
CHICKEN SPRD,158.0,17.56,56.0,4.05,0.47,18.01,1
"CHORIZO,PORK AND BEEF",455.0,38.27,88.0,1.86,0.0,24.1,1
"CORNED BEEF LOAF,JELLIED",153.0,6.1,47.0,0.0,8.256540404040422,22.9,1
"DUTCH BRAND LOAF,CHICK,PORK & BF",273.0,22.91,60.0,3.93,0.9,12.0,1
"FRANKFURTER,BF,UNHTD",313.0,27.8,55.0,3.72,1.3,11.18,1
FRANKFURTER  BF & PORK,305.0,27.64,50.0,1.72,0.0,11.53,1
"FRANKFURTER,CHICK",223.0,16.19,96.0,2.74,0.53,15.51,1
"FRANKFURTER,TURKEY",223.0,17.29,77.0,3.81,1.21,12.23,1
"HAM,CHOPPED,CANNED",239.0,18.83,49.0,0.26,0.0,16.06,1
"HAM,SLICED,PREPACKAGED (96% FAT FREE,H2O ADDED)",105.0,3.61,41.0,0.59,1.04,16.47,1
"HAM,SLICED,REG (APPROX 11% FAT)",163.0,8.6,57.0,3.83,0.0,16.6,1
"HAM,MINCED",263.0,20.68,70.0,1.84,0.0,16.28,1
"HEADCHEESE,PORK",157.0,10.9,69.0,0.0,0.0,13.83,1
HONEY LOAF  PORK  BF,125.0,4.47,34.0,9.98,0.17,11.12,1
"SAUSAGE,ITALIAN,PORK,RAW",346.0,31.33,76.0,0.65,8.256540404040422,14.25,1
"KIELBASA,KOLBASSY,PORK,BF,NONFAT DRY MILK",309.0,27.29,66.0,2.81,1.6,12.23,1
KNACKWURST  KNOCKWURST  PORK  BF,307.0,27.7,60.0,3.2,0.0,11.1,1
LEBANON BOLOGNA  BF,172.0,10.44,55.0,0.44,0.0,19.03,1
"LIVER CHEESE,PORK",304.0,25.6,174.0,2.1,8.256540404040422,15.2,1
"LIVER SAUSAGE,LIVERWURST,PORK",326.0,28.5,158.0,2.2,8.256540404040422,14.1,1
"LUNCHEON MEAT,BEEF,LOAVED",308.0,26.2,64.0,2.9,0.0,14.4,1
"LUNCHEON MEAT,BF,THIN SLICED",117.0,3.4,48.0,2.59,0.0,17.94,1
"USDA CMDTY,LUNCHEON MEAT,CND",189.0,12.77,78.0,1.04,0.0,17.5,1
"LUNCHEON MEAT,PORK,CANNED",334.0,30.3,62.0,2.1,0.0,12.5,1
"TURKEY BREAST,LO SALT,PREPACKAGED OR DELI,LUNCHEON MEAT",116.0,0.88,44.0,4.21,3.51,22.81,1
"LUNCHEON MEAT,PORK,BEEF",353.0,32.16,55.0,2.33,0.0,12.59,1
"MORTADELLA,BEEF,PORK",311.0,25.39,56.0,3.05,0.0,16.37,1
"OLIVE LOAF,PORK",235.0,16.5,38.0,9.2,0.0,11.8,1
"PASTRAMI,TURKEY",133.0,6.21,68.0,1.79,3.34,16.3,1
"PATE,CHICKEN LIVER,CANNED",201.0,13.1,391.0,6.55,0.0,13.45,1
"PATE,GOOSE LIVER,SMOKED,CND",462.0,43.84,150.0,4.67,8.256540404040422,11.4,0
"PATE,LIVER,NOT SPECIFIED,CND",319.0,28.0,255.0,1.5,8.256540404040422,14.2,1
PEPPERED LOAF  PORK  BF,149.0,6.37,46.0,4.53,4.61,17.3,1
"PEPPERONI,PORK,BEEF",494.0,43.98,105.0,0.0,0.0,22.68,1
"PICKLE&PIMIENTO LOAF,PORK",225.0,15.95,58.0,8.46,8.46,11.23,1
"POLISH SAUSAGE,PORK",326.0,28.72,70.0,1.63,8.256540404040422,14.1,1
"LUXURY LOAF,PORK",141.0,4.8,36.0,4.9,8.256540404040422,18.4,1
"MOTHER'S LOAF,PORK",282.0,22.3,45.0,7.53,8.256540404040422,12.07,1
"PICNIC LOAF,PORK,BEEF",232.0,16.64,38.0,4.76,8.256540404040422,14.92,1
"PORK SAUSAGE,FRSH,RAW",304.0,26.53,72.0,0.0,0.0,15.09,1
"PORK SAUSAGE,FRSH,CKD",339.0,28.36,84.0,0.0,0.0,19.43,1
"PORK&BF SAUSAGE,FRSH,CKD",396.0,36.25,71.0,2.7,0.0,13.8,1
"TURKEY SAUSAGE,RED FAT,BROWN&SERVE,CKD",204.0,10.3,58.0,10.92,0.0,17.0,1
POULTRY SALAD SNDWCH SPRD,200.0,13.52,30.0,7.41,0.0,11.64,1
SALAMI  CKD  BF,261.0,22.2,71.0,1.9,1.5,12.6,1
"SALAMI,CKD,BF&PORK",336.0,25.9,89.0,2.4,0.96,21.85,1
"SALAMI,COOKED,TURKEY",172.0,9.21,76.0,1.55,1.12,19.3,1
"SALAMI,DRY OR HARD,PORK",407.0,33.72,79.0,1.6,8.256540404040422,22.58,1
"SALAMI,DRY OR HARD,PORK,BF",385.0,30.05,100.0,3.8,0.0,23.2,1
"SANDWICH SPREAD,PORK,BEEF",235.0,17.34,38.0,11.94,0.0,7.66,1
"SMOKED LINK SAUSAGE,PORK",307.0,28.23,61.0,0.18,0.94,11.98,1
"SAUSAGE,SMOKED LINK SAUSAGE,PORK & BF",320.0,28.73,58.0,2.42,0.0,12.0,1
"SMOKED LINK SAUSAGE,PORK&BF,FLR&NONFAT DRY MILK",268.0,21.43,65.0,3.96,3.0,13.97,1
"SMOKED LINK SAUSAGE,PORK&BF,NONFAT DRY MILK",313.0,27.61,65.0,1.92,8.256540404040422,13.28,1
"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK",362.0,30.43,74.0,3.33,0.85,17.45,1
TURKEY BREAST MEAT,104.0,1.66,43.0,4.21,3.51,17.07,1
"TURKEY HAM,CURED TURKEY THIGH MEAT",126.0,4.84,72.0,2.04,1.43,17.5,1
"TURKEY BREAST,SLICED,PREPACKAGED",99.0,2.15,50.0,2.5,1.23,16.3,1
"TURKEY ROLL,LT&DK MEAT",149.0,6.99,55.0,2.12,0.0,18.14,1
"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",230.0,19.4,87.0,2.6,0.0,10.5,1
"HONEY ROLL SAUSAGE,BEEF",182.0,10.5,50.0,2.18,8.256540404040422,18.58,1
"SAUSAGE,ITALIAN,PORK,CKD",344.0,27.31,57.0,4.27,0.86,19.12,1
"LUNCHEON SAUSAGE,PORK&BF",260.0,20.9,64.0,1.58,8.256540404040422,15.38,1
"NEW ENGLAND BRAND SAUSAGE,PORK,BF",161.0,7.58,49.0,4.83,8.256540404040422,17.27,1
"OSCAR MAYER,BOLOGNA (CHICK,PORK,BF)",318.0,29.4,103.0,2.4,1.4,10.9,1
"OSCAR MAYER,BOLOGNA (BEEF)",316.0,29.1,64.0,2.45,1.4,11.05,1
"OSCAR MAYER,BOLOGNA (BEEF LIGHT)",200.0,14.5,44.0,5.6,2.3,11.75,1
"OSCAR MAYER,BOLOGNA (FAT FREE)",79.0,0.6,25.0,6.0,2.2,12.6,1
OSCAR MAYER  BOLOGNA LIGHT (PORK  CHICK  BEEF),202.0,14.75,56.0,5.7,2.6,11.5,1
OSCAR MAYER. BOLOGNA (WISCONSIN MADE RING),313.0,28.4,62.0,2.6,2.2,11.8,1
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SLICED)",331.0,29.35,178.0,2.6,1.2,14.25,1
"OSCAR MAYER,BRAUNSCHWEIGER LIVER SAUSAGE (SAREN TUBE)",341.0,30.6,160.0,2.3,0.7,14.2,1
OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),109.0,1.5,53.0,3.95,4.3,19.85,1
"OSCAR MAYER,CHICK BREAST (OVEN RSTD,FAT FREE)",85.0,0.6,44.0,1.7,0.9,18.3,1
OSCAR MAYER  HAM & CHEESE LOAF,234.0,18.2,62.0,3.75,3.3,13.85,1
"OSCAR MAYER,HAM (CHOPPED W/ NAT JUICE)",180.0,11.15,59.0,3.65,2.2,16.3,1
OSCAR MAYER  HAM (WATER ADDED  BKD CKD 96% FAT FREE),104.0,3.52,48.0,1.83,1.0,16.3,1
"OSCAR MAYER,HAM (H2O ,BLD)",104.0,3.7,47.0,1.2,0.3,16.6,1
"OSCAR MAYER,HAM (H2O ,HONEY)",111.0,3.5,45.0,3.1,3.1,16.7,1
"OSCAR MAYER,HAM (H2O ,SMOKED,CKD)",99.0,3.6,48.0,0.1,0.1,16.6,1
"OSCAR MAYER,HAM (40%HAM/WATER PRODUCT,SMOKED,FAT FREE)",72.0,0.7,38.0,1.9,1.1,14.6,1
"OSCAR MAYER,HEAD CHEESE",185.0,13.5,91.0,0.0,0.0,15.7,1
"OSCAR MAYER,LIVER CHS,PORK FAT WRAPPED",313.0,26.4,211.0,2.6,1.3,15.2,1
"OSCAR MAYER,LUNCHEON LOAF (SPICED)",234.0,16.9,67.0,7.0,4.6,13.5,1
"OSCAR MAYER,OLD FASHIONED LOAF",231.0,16.3,61.0,8.0,4.6,13.1,1
"OSCAR MAYER,OLIVE LOAF (CHICK,PORK,TURKEY)",263.0,21.8,71.0,6.9,3.2,9.9,1
"OSCAR MAYER,PICKLE PIMIENTO LOAF (W/CHICK)",269.0,21.6,80.0,9.1,6.9,9.6,1
"OSCAR MAYER,PORK SAUSAGE LINKS (CKD)",343.0,30.5,77.0,1.0,0.9,16.3,1
"OSCAR MAYER,SALAMI BF COTTO",206.0,15.7,83.0,1.9,1.1,14.2,1
"OSCAR MAYER,SALAMI COTTO (BF,PORK,CHICK)",245.0,20.3,80.0,2.2,1.5,13.4,1
"OSCAR MAYER,SALAMI (FOR BEER)",225.0,18.2,69.0,1.9,1.1,13.5,1
"OSCAR MAYER,SALAMI (GENOA)",388.0,33.3,102.0,1.2,0.2,20.7,1
"OSCAR MAYER,SALAMI (HARD)",368.0,28.7,97.0,1.6,0.2,25.9,1
"OSCAR MAYER,SNDWCH SPRD (PORK,CHICK,BF)",237.0,16.6,45.0,15.4,7.9,6.5,1
"OSCAR MAYER,SMOKIE LINKS SAUSAGE",302.0,27.3,63.0,1.7,1.6,12.4,1
OSCAR MAYER  SMOKIES (BEEF),296.0,26.65,62.0,1.95,1.4,12.25,1
"OSCAR MAYER,SMOKIES (CHS)",303.0,27.1,70.0,1.8,1.5,12.9,1
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE (PORK,TURKEY)",301.0,27.1,64.0,1.8,1.4,12.4,1
"OSCAR MAYER,SMOKIES SAUSAGE LITTLE CHS (PORK,TURKEY)",315.0,28.2,67.0,1.7,0.3,13.5,1
"OSCAR MAYER,SMMR SAUSAGE BF THURINGER CERVELAT",309.0,27.0,80.0,1.9,1.1,14.6,1
"OSCAR MAYER,SMMR SAUSAGE THURINGER CERVALAT",304.0,26.7,84.0,0.9,0.5,14.9,1
"OSCAR MAYER,TURKEY BREAST (SMOKED,FAT FREE)",80.0,0.6,31.0,3.6,1.1,14.9,1
"OSCAR MAYER,WIENERS (PORK,TURKEY)",327.0,29.9,72.0,2.7,1.8,10.95,1
"OSCAR MAYER,WIENERS (BEEF FRANKS)",327.0,30.26,56.0,2.35,1.6,11.35,1
OSCAR MAYER  WIENERS (BEEF FRANKS  BUN LENGTH),324.0,30.1,59.0,2.65,1.8,11.1,1
"OSCAR MAYER,WIENERS (BEEF FRANKS,FAT FREE)",78.0,0.5,30.0,5.1,3.8,13.2,1
"OSCAR MAYER,WIENERS (BEEF FRANKS,LIGHT)",193.0,14.9,49.0,4.1,2.1,10.7,1
"OSCAR MAYER,WIENERS (CHEESE HOT DOGS W/ TURKEY)",318.0,28.7,74.0,2.8,1.8,12.0,1
"OSCAR MAYER,WIENERS (FAT FREE HOT DOGS)",73.0,0.6,29.0,4.3,2.1,12.6,1
"OSCAR MAYER,WIENERS (LIGHT PORK,TURKEY,BEEF)",194.0,14.9,62.0,2.8,1.5,12.1,1
"OSCAR MAYER,WIENERS LITTLE (PORK,TURKEY)",311.0,28.7,55.0,2.3,1.6,10.9,1
"LOUIS RICH,CHICK BREAST CLASSIC BKD /GRILL (CARVING BOARD)",98.0,0.5,52.0,3.7,0.7,19.7,1
"LOUIS RICH,CHICK BREAST (OVEN RSTD DELUXE)",101.0,2.0,49.0,2.5,1.5,18.3,1
"LOUIS RICH,CHICK (WHITE,OVEN RSTD)",128.0,5.6,59.0,2.3,1.0,17.0,1
"LOUIS RICH,FRANKS (TURKEY & CHICK CHEESE)",201.0,14.5,94.0,5.1,1.7,12.7,1
"LOUIS RICH,FRANKS (TURKEY & CHICKEN)",188.0,13.5,92.0,5.3,1.5,11.2,1
LOUIS RICH  TURKEY BACON,250.0,20.3,90.0,1.7,1.8,15.1,1
"LOUIS RICH,TURKEY BOLOGNA",184.0,13.2,67.0,4.85,1.2,11.3,1
"LOUIS RICH,TURKEY BREAST & WHITE TURKEY (OVEN ROASTED)",99.0,2.0,41.0,3.25,0.8,17.1,1
"LOUIS RICH,TURKEY BREAST&WHITE TURKEY (SMOKED SLICED)",100.0,2.3,42.0,2.4,1.1,17.6,1
"LOUIS RICH,TURKEY (HONEY RSTD,FAT FREE)",102.0,0.8,40.0,4.5,3.9,19.3,1
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,FAT FREE)",84.0,0.7,32.0,4.5,1.7,15.0,1
"LOUIS RICH,TURKEY BREAST (OVEN RSTD,PORTION FAT FREE)",90.0,0.7,40.0,1.9,0.4,19.1,1
"LOUIS RICH,TURKEY BREAST (SMOKED,CARVING BOARD)",94.0,1.0,43.0,1.6,0.3,19.7,1
"LOUIS RICH,TURKEY BREAST (SMOKED,PORTION FAT FREE)",93.0,0.8,41.0,2.2,0.6,19.3,1
"LOUIS RICH,TURKEY HAM (10% H2O)",113.0,4.1,67.0,0.9,0.9,18.2,1
"LOUIS RICH,TURKEY NUGGETS/STICKS (BREADED)",276.0,17.5,40.0,15.4,0.0,14.3,1
"LOUIS RICH,TURKEY SALAMI",147.0,9.4,76.0,0.4,0.4,15.3,1
"LOUIS RICH,TURKEY SALAMI COTTO",149.0,9.5,77.0,0.9,0.4,15.0,1
"LOUIS RICH,TURKEY SMOKED SAUSAGE",161.0,9.9,66.0,3.15,2.8,14.8,1
"BUTCHER BOY MEATS,INC.,TURKEY FRANKS",239.0,18.17,104.0,4.66,2.49,13.45,1
"CARL BUDDIG,CKD CORNED BF,CHOPD,PRESSED",142.0,6.8,65.0,1.0,8.256540404040422,19.3,1
"CARL BUDDIG,SMOKED SLICED CHICK,LT&DK MEAT",165.0,10.1,53.0,0.7,8.256540404040422,17.9,1
"CARL BUDDIG,SMOKED SLICED BF",139.0,6.5,67.0,0.6,8.256540404040422,19.3,1
"CARL BUDDIG,SMOKED SLICED TURKEY,LT&DK MEAT",160.0,9.1,57.0,1.8,8.256540404040422,17.5,1
"CARL BUDDIG. CKD SMOKED BF PASTRAMI,CHOPD,PRESSED",141.0,6.5,65.0,1.0,8.256540404040422,19.6,1
"CARL BUDDIG,SMOKED SLICED HAM",163.0,9.3,55.0,1.1,8.256540404040422,18.5,1
HORMEL SPAM  LUNCHEON MEAT  PORK W/ HAM  MINCED  CND,310.0,27.24,70.0,3.03,8.256540404040422,13.24,1
"HORMEL SPAM,LT LUNCH MT,PORK & CHICK,MINCED,CND,VIT C ADDED",191.0,13.9,75.0,1.35,1.26,15.23,1
HORMEL PILLOW PAK SLICED TURKEY PEPPERONI,243.0,11.52,123.0,3.78,0.0,30.99,1
HORMEL WRANGLER BEEF FRANKS,290.0,25.69,67.0,2.11,1.67,12.58,1
"TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED",101.0,2.5,21.0,11.54,0.0,8.0,1
"USDA COMMODITY,PORK,SAUSAGE,BULK/LINKS/PATTIES,FRZ,CKD",267.0,20.26,98.0,0.0,8.256540404040422,19.76,1
"FRANKFURTER,BF,PORK,& TURKEY,FAT FREE",109.0,1.59,41.0,11.21,0.0,12.5,1
"LUNCHEON MEAT,PORK,HAM,&CHICK,MINCD,CND,RED NA,VIT C, (SPAM)",293.0,25.1,76.0,3.4,0.0,12.5,1
"USDA COMMODITY,PORK SAUSAGE,BULK/LINKS/PATTIES,FRZ,RAW",231.0,18.56,73.0,0.0,8.256540404040422,14.95,1
"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",315.0,26.6,71.0,4.6,0.0,13.4,1
"LUNCHEON MEAT,PORK&CHICK,MINCED,CND,INCL SPAM LITE",196.0,13.9,75.0,1.35,1.26,15.23,1
BRATWURST  VEAL  CKD,341.0,31.7,79.0,0.0,0.0,13.99,1
LIVERWURST SPRD,305.0,25.45,118.0,5.89,1.65,12.38,1
ROAST BF SPRD,223.0,16.28,70.0,3.73,0.71,15.27,1
SALAMI  PORK  BF  LESS NA,396.0,30.5,90.0,15.38,6.21,15.01,1
SAUSAGE  ITALIAN  SWT  LINKS,149.0,8.42,30.0,2.1,0.0,16.13,1
SAUSAGE  POLISH  BF W/ CHICK  HOT,259.0,19.4,66.0,3.6,0.0,17.6,1
SAUSAGE  POLISH  PORK & BF  SMOKED,301.0,26.56,71.0,1.98,0.0,12.07,1
SAUSAGE  PORK & BF  W/ CHEDDAR CHS  SMOKED,296.0,25.84,63.0,2.13,0.11,12.89,1
SAUSAGE  SMMR  PORK & BF  STKS  W/ CHEDDAR CHS,426.0,37.91,89.0,1.82,0.12,19.43,1
SAUSAGE  TURKEY  BRKFST LINKS  MILD,235.0,18.09,160.0,1.56,0.0,15.42,1
SWISSWURST  PORK & BF  W/ SWISS CHS  SMOKED,307.0,27.37,61.0,1.6,0.0,12.69,1
BACON & BF STKS,517.0,44.2,102.0,0.8,0.8,29.1,1
BRATWURST  BF & PORK  SMOKED,297.0,26.34,78.0,2.0,0.0,12.2,1
"BRATWURST,CHICK,CKD",176.0,10.35,71.0,0.0,0.0,19.44,1
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,186.0,13.53,56.0,1.62,1.57,14.45,1
PASTRAMI  BF  98% FAT-FREE,95.0,1.16,47.0,1.54,0.0,19.6,1
SALAMI  ITALIAN  PORK,425.0,37.0,80.0,1.2,1.2,21.7,1
SAUSAGE  ITALIAN  TURKEY  SMOKED,158.0,8.75,53.0,4.65,3.2,15.05,1
SAUSAGE  CHICK  BF  PORK  SKINLESS  SMOKED,216.0,14.3,120.0,8.1,1.9,13.6,1
SAUSAGE  TURKEY  HOT  SMOKED,158.0,8.75,53.0,4.65,3.2,15.05,1
"YACHTWURST,W/ PISTACHIO NUTS,CKD",268.0,22.6,64.0,1.4,0.0,14.8,1
BEERWURST  PORK & BF,276.0,22.53,62.0,4.27,0.0,14.0,1
CHICKEN BREAST  FAT-FREE  MESQ FLAVOR  SLICED,80.0,0.39,36.0,2.25,0.2,16.8,1
CHICKEN BREAST  OVEN-ROASTED  FAT-FREE  SLICED,79.0,0.39,36.0,2.17,0.1,16.79,1
"KIELBASA,POLISH,TURKEY & BF,SMOKED",226.0,17.6,70.0,3.9,0.0,13.1,1
OVEN-ROASTED CHICK BREAST ROLL,134.0,7.65,39.0,1.79,0.43,14.59,1
BOLOGNA  PORK & TURKEY  LITE,211.0,16.06,79.0,3.45,0.0,13.06,1
BOLOGNA  PORK  TURKEY & BF,336.0,29.25,75.0,6.66,1.35,11.56,1
HAM  HONEY  SMOKED  CKD,122.0,2.37,22.0,7.27,0.0,17.93,1
"FRANKFURTER,PORK",269.0,23.68,66.0,0.28,0.0,12.81,1
MACARONI & CHS LOAF  CHICK  PORK & BF,228.0,14.96,44.0,11.63,0.0,11.76,1
SALAMI  ITALIAN  PORK & BF  DRY  SLICED  50% LESS NA,350.0,26.4,89.0,6.4,0.0,21.8,1
PATE  TRUFFLE FLAVOR,327.0,28.5,105.0,6.3,8.256540404040422,11.2,1
"TURKEY,BREAST,SMOKED,LEMON PEPPER FLAVOR,97% FAT-FREE",95.0,0.69,48.0,1.31,0.0,20.9,1
TURKEY  WHITE  ROTISSERIE  DELI CUT,112.0,3.0,55.0,7.7,4.0,13.5,1
FRANKFURTER  BF  HTD,322.0,29.36,58.0,2.66,1.27,11.69,1
FRANKFURTER  MEAT  HTD,278.0,24.31,73.0,4.9,8.256540404040422,9.77,1
FRANKFURTER  MEAT,290.0,25.76,77.0,4.17,8.256540404040422,10.26,1
"SCRAPPLE,PORK",213.0,13.87,49.0,14.06,0.2,8.06,1
"BOLOGNA,CHICK,TURKEY,PORK",298.0,26.18,80.0,5.65,0.0,9.88,1
"PORK SAUSAGE,PRE-COOKED",378.0,35.04,74.0,0.0,0.0,14.49,1
"BEEF SAUSAGE,PRE-COOKED",405.0,37.57,83.0,0.03,0.0,15.5,1
"TURKEY SAUSAGE,FRSH,RAW",155.0,8.08,75.0,0.47,0.0,18.79,1
"BEEF SAUSAGE,FRSH,CKD",332.0,27.98,82.0,0.35,0.0,18.21,1
"PORK & TURKEY SAUSAGE,PRE-COOKED",342.0,30.64,72.0,3.63,0.0,12.05,1
"TURKEY SAUSAGE,FRSH,CKD",196.0,10.44,92.0,0.0,0.0,23.89,1
"BOLOGNA,CHICK,PORK,BF",272.0,22.73,83.0,5.61,0.0,11.33,1
"BOLOGNA,CHICK,PORK",336.0,30.61,87.0,4.19,0.0,10.31,1
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",260.0,4.9,0.0,74.24,15.69,13.14,0
"CEREALS RTE,POST,ALPHA-BITS",385.0,3.8,0.0,83.7,35.5,8.1,0
"CEREALS RTE,KELLOGG,KELLOGG'S APPL JACKS",366.0,1.9,0.0,88.2,44.0,5.0,0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN BRAN BUDS",250.0,2.15,0.0,80.0,27.0,7.0,0
"CEREALS RTE,QUAKER,CAP'N CRUNCH",398.0,5.12,0.0,85.51,44.32,4.39,0
"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES",397.0,4.83,0.0,85.9,44.2,4.45,0
"CEREALS RTE,QUAKER,CAP'N CRUNCH'S PNUT BUTTER CRUNCH",417.0,9.23,0.0,78.65,33.36,7.1,0
"CEREALS RTE,GENERAL MILLS,CHEERIOS",367.0,5.9,0.0,74.68,4.02,11.33,0
"CEREALS RTE,KELLOGG,KELLOGG'S COCOA KRISPIES",389.0,2.9,0.0,86.05,38.5,5.22,0
"CEREALS RTE,POST,COCOA PEBBLES",397.0,4.2,0.0,85.8,37.2,4.7,0
"CEREALS RTE,GENERAL MILLS,COOKIE CRISP",385.0,3.85,0.0,84.62,38.46,3.85,0
"CEREALS RTE,QUAKER,QUAKER CRUNCHY BRAN",331.0,4.06,0.0,83.68,20.66,6.37,0
"CEREALS RTE,GENERAL MILLS CORN CHEX",387.0,1.61,0.0,83.87,9.68,6.45,0
"CEREALS RTE,KELLOGG,KELLOGG'S CORN FLAKES",365.0,0.59,0.0,87.11,10.5,6.61,0
"CEREALS RTE,CORN FLAKES,LO NA",399.0,0.3,0.0,88.8,6.11,7.7,0
"CEREALS RTE,KELLOGG,KELLOGG'S CRACKLIN' OAT BRAN",402.0,13.9,0.0,71.8,31.5,8.0,0
"CEREALS RTE,RALSTON CRISPY RICE",364.0,1.26,0.0,86.22,7.65,6.69,0
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES",318.0,2.0,0.0,79.0,17.0,10.0,0
"CEREALS RTE,BRAN FLAKES,SINGLE BRAND",320.0,2.2,0.0,80.4,18.9,9.4,0
"CEREALS RTE,KELLOGG,KELLOGG'S FROOT LOOPS",372.0,3.3,0.0,86.7,42.7,5.0,0
"CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE",343.0,1.6,0.0,82.0,21.0,9.0,0
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD RICE KRISPIES",382.0,0.4,0.0,90.9,39.8,4.3,0
"CEREALS RTE,POST,FRUITY PEBBLES",400.0,4.0,0.0,86.2,38.0,4.3,0
"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS",387.0,3.23,0.0,83.87,32.26,6.45,0
"CEREALS RTE,GRANOLA,HOMEMADE",489.0,24.06,0.0,53.25,20.0,14.85,0
"CEREALS RTE,POST,GRAPE-NUTS CRL",359.0,1.85,0.0,80.1,12.61,12.48,0
"CEREALS RTE,POST,GRAPE-NUTS FLAKES",369.0,3.7,0.0,81.9,15.1,9.5,0
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEERIOS",393.0,5.36,0.0,78.57,32.14,7.14,0
"CEREALS RTE,POST,HONEYCOMB CRL",396.0,3.0,0.0,87.4,32.4,6.2,0
"CEREALS RTE,QUAKER,KING VITAMAN",381.0,3.44,0.0,83.85,20.27,6.41,0
"CEREALS RTE,GENERAL MILLS,KIX",367.0,3.46,0.0,82.82,9.76,7.69,0
"CEREALS RTE,QUAKER,QUAKER OAT LIFE,PLN",374.0,4.42,0.0,77.69,19.43,9.97,0
"CEREALS RTE,GENERAL MILLS,LUCKY CHARMS",407.0,3.7,0.0,81.48,37.04,7.41,0
"CEREALS RTE,POST,100% BRAN CRL",287.0,2.1,0.0,78.2,24.4,12.7,0
